OBJECTID_1,OBJECTID,ADDRESS,Longitude,ID,Latitude,HAM_CMA,Sum_count
139,458,"632 Queenston Rd, Hamilton, ON L8K 1K2, Canada",-79.7744111,458,43.2301283,1,1
140,465,"67 Caroline St S, Hamilton, ON L8P 3K6, Canada",-79.8761898,465,43.2563132,1,1
141,466,"67 Kenilworth Ave N, Hamilton, ON L8H 4R6, Canada",-79.8094063,466,43.2425611,1,12
142,468,"672 Upper James St, Hamilton, ON L9C 2Z3, Canada",-79.8793614,468,43.2349518,1,1
143,470,"675 Upper James St, Hamilton, ON L9C 2Z5, Canada",-79.8778084,470,43.234196,1,1
144,472,"678 Main St E, Hamilton, ON L8M 1K2, Canada",-79.8431107,472,43.248348,1,2
145,473,"68 Centennial Pkwy N, Hamilton, ON L8E 1H6, Canada",-79.7628742,473,43.230163,1,1
146,477,"690 Main St W, Hamilton, ON L8S 1A4, Canada",-79.8981919,477,43.260329,1,1
147,480,"699 Concession St, Hamilton, ON L8V 4X2, Canada",-79.8461713,480,43.239889,1,9
148,482,"70 King St E, Stoney Creek, ON L8G 1K2, Canada",-79.7539533,482,43.2163723,1,2
149,485,"700 Main St E, Hamilton, ON L8M 1K7, Canada",-79.8418853,485,43.2480139,1,7
150,487,"701 Main St W, Hamilton, ON L8S 1A2, Canada",-79.8978857,487,43.2598155,1,1
151,488,"701 Upper Sherman Ave, Hamilton, ON L8V 3M7, Canada",-79.8486697,488,43.2256679,1,1
152,492,"71 Rebecca St, Hamilton, ON L8R 1B6, Canada",-79.8649448,492,43.2575883,1,3
153,493,"711 Concession St, Hamilton, ON L8V 5C2, Canada",-79.8449394,493,43.2399717,1,10
154,497,"72 King St W, Stoney Creek, ON L8G 1H8, Canada",-79.7648049,497,43.2186631,1,2
155,499,"723 Rymal Rd W, Hamilton, ON L9B 2W1, Canada",-79.9264942,499,43.2098724,1,6
156,507,"755 Concession St, Hamilton, ON L8V 1C4, Canada",-79.8434389,507,43.238968,1,1
157,511,"770 Mohawk Rd W, Hamilton, ON L9C 6P6, Canada",-79.920786,511,43.2341151,1,2
158,515,"78 Barton St W, Hamilton, ON L8L 1A6, Canada",-79.8690744,515,43.2650528,1,1
159,518,"79 Lynden Rd, Hamilton, ON L0R, Canada",-80.1464564,518,43.2340185,1,2
160,519,"79 South St W, Dundas, ON L9H 4C7, Canada",-79.9524926,519,43.2593843,1,1
161,523,"800 Queenston Rd, Stoney Creek, ON L8G 2N4, Canada",-79.7663599,523,43.2280278,1,1
162,524,"801 Mohawk Rd W, Hamilton, ON L9C 5V8, Canada",-79.9230305,524,43.2330512,1,9
163,528,"81 Wilson St W, Ancaster, ON L9G 1N1, Canada",-79.9905578,528,43.2159967,1,1
164,530,"82 Stinson St, Hamilton, ON L8N 1S2, Canada",-79.8577075,530,43.2486817,1,1
165,535,"836 Upper James St, Hamilton, ON L9C 3A4, Canada",-79.8827516,535,43.228087,1,4
166,536,"848 Main St E, Hamilton, ON L8M 1L9, Canada",-79.8357581,536,43.2463436,1,1
167,537,"849 Upper Wentworth St, Hamilton, ON L9A 5H4, Canada",-79.8609499,537,43.2218017,1,11
168,541,"867 Upper Paradise Rd, Hamilton, ON L9C 5R3, Canada",-79.9176276,541,43.2193222,1,1
169,546,"88 Maplewood Ave, Hamilton, ON L8M 1W9, Canada",-79.8371314,546,43.2448007,1,5
170,547,"880 Upper Wentworth St, Hamilton, ON L9A 5H2, Canada",-79.8635459,547,43.2213221,1,2
171,548,"884 Concession St, Hamilton, ON L8V 1E6, Canada",-79.838841,548,43.237491,1,1
172,553,"90 Chedmac Dr, Hamilton, ON L9C 7W1, Canada",-79.9213626,553,43.2372918,1,2
173,554,"90 Dundas St E, Waterdown, ON L0R 2H2, Canada",-79.9086005,554,43.3156109,1,3
174,557,"908 Garth St, Hamilton, ON L9C 4L2, Canada",-79.9010108,557,43.2333683,1,1
175,561,"928 Barton St E, Hamilton, ON L8L 3C3, Canada",-79.824357,561,43.253203,1,1
176,565,"95 Hamilton St N, Waterdown, ON L0R 2H6, Canada",-79.901365,565,43.3342308,1,4
177,567,"969 Upper Ottawa St, Hamilton, ON L8T 4V9, Canada",-79.8348556,567,43.2103228,1,5
178,568,"980 Queenston Rd, Stoney Creek, ON L8G 1B9, Canada",-79.7494947,568,43.2242993,1,2
179,569,"987 King St E, Hamilton, ON L8M 1C6, Canada",-79.8346202,569,43.2511797,1,1
180,576,"Lockport Way, Hamilton, ON L8E, Canada",-79.6328871,576,43.2191119,1,1
